,0,1
969,nickel,12
970,_american,12
971,enter,12
972,mothers,12
973,sentence,12
974,heather,12
975,breastfeeding,12
976,plugin,12
977,tomshliand,12
978,construction,12
979,area,12
980,strike,12
981,fair,12
982,vain,12
983,victim,12
984,25,12
985,add,12
986,remarks,12
987,grabbed,12
988,rcn,12
989,boston,12
990,finger,12
991,doctors,12
992,pot,12
993,custody,12
994,gaga,12
995,megyn,12
996,lost,12
997,male,12
998,drink,12
999,drinks,12
